Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Jamaica,JAM,2009,High-technology exports (current US$),TX.VAL.TECH.CD,4303754
Jamaica,JAM,2008,High-technology exports (current US$),TX.VAL.TECH.CD,6447306
Jamaica,JAM,2023,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,2.64698979146794
Jamaica,JAM,2022,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,1.47098475516758
Jamaica,JAM,2021,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,2.47195001164729
Jamaica,JAM,2020,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,2.35064138351541
Jamaica,JAM,2019,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,4.17241427918592
Jamaica,JAM,2018,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,7.9785246172073
Jamaica,JAM,2017,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,5.73932610490372
Jamaica,JAM,2016,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,4.12770569220042
Jamaica,JAM,2015,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,1.03608493889257
Jamaica,JAM,2014,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,4.5720563430337
Jamaica,JAM,2013,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,3.56695237646044
Jamaica,JAM,2012,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,2.07942728921957
Jamaica,JAM,2011,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,7.33194025703724
Jamaica,JAM,2010,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,2.97040987376041
Jamaica,JAM,2009,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,1.92338186899639
Jamaica,JAM,2008,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,2.95190567074777
